XXXX re-evaluate this;Name.java;jedit-4.2/src/bsh;526;Technical Debt
XXX: This should not be hardcoded;SplashScreen.java;jedit-4.2/src/org/gjt/sp/jedit/gui;113;Technical Debt
XXX: getMarkPosition() deprecated!;JEditTextArea.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;6680;Technical Debt
XXX: does this really belong here?;SettingsReloader.java;jedit-4.2/src/org/gjt/sp/jedit;63;Technical Debt
XXX: action bar might not be 'temp';jEdit.java;jedit-4.2/src/org/gjt/sp/jedit;2914;Technical Debt
XXX re-eval this... do we need it?;Name.java;jedit-4.2/src/bsh;494;Technical Debt
XXX magic number;EnhancedCheckBoxMenuItem.java;jedit-4.2/src/org/gjt/sp/jedit/menu;104;Technical Debt
XXX magic number;EnhancedMenuItem.java;jedit-4.2/src/org/gjt/sp/jedit/menu;98;Technical Debt
XXX magic number;MarkersProvider.java;jedit-4.2/src/org/gjt/sp/jedit/menu;140;Technical Debt
XXX if we keep the createClassManager in getClassManager then we can axe;NameSpace.java;jedit-4.2/src/bsh;526;Technical Debt
XXX clean up this conditional;ClassGeneratorUtil.java;jedit-4.2/src/bsh;944;Technical Debt
XXX - clean up in 4.3;BeanShellAction.java;jedit-4.2/src/org/gjt/sp/jedit;108;Technical Debt
XXX;BSHMethodInvocation.java;jedit-4.2/src/bsh;74;Technical Debt
XXX;ConsoleInstall.java;jedit-4.2/src/installer;105;Technical Debt
XXX;DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;1914;Technical Debt
XXX;DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;392;Technical Debt
XXX;DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;912;Technical Debt
XXX;NonInteractiveInstall.java;jedit-4.2/src/installer;85;Technical Debt
XXX;RESyntax.java;jedit-4.2/src/gnu/regexp;408;Technical Debt
Workaround for uncooperative Windows L&F;RolloverButton.java;jedit-4.2/src/org/gjt/sp/jedit/gui;91;Technical Debt
workaround for Swing's annoying processing of;AbbrevsOptionPane.java;jedit-4.2/src/org/gjt/sp/jedit/options;324;Technical Debt
workaround for Swing rendering labels starting;PasteFromListDialog.java;jedit-4.2/src/org/gjt/sp/jedit/gui;171;Technical Debt
Workaround for JDK bug 4071281, where system.in.available();Interpreter.java;jedit-4.2/src/bsh;382;Technical Debt
workaround for hang if match was  * zero-width. not sure if there is  * a better way to handle this;TokenMarker.java;jedit-4.2/src/org/gjt/sp/jedit/syntax;416-418;Technical Debt
workaround for A+keys producing  * garbage on Windows;KeyEventWorkaround.java;jedit-4.2/src/org/gjt/sp/jedit/gui;248-249;Technical Debt
Windows JDK workaround;KeyEventWorkaround.java;jedit-4.2/src/org/gjt/sp/jedit/gui;183;Technical Debt
Windows bug workaround in case a YES/NO confirm;SearchDialog.java;jedit-4.2/src/org/gjt/sp/jedit/search;759;Technical Debt
Why?;Buffer.java;jedit-4.2/src/org/gjt/sp/jedit;1362;Technical Debt
Why?;Buffer.java;jedit-4.2/src/org/gjt/sp/jedit;1387;Technical Debt
why so cute?;Reflect.java;jedit-4.2/src/bsh;920;Technical Debt
Why is object in the args?;Reflect.java;jedit-4.2/src/bsh;425;Technical Debt
Why both of these?;BSHTryStatement.java;jedit-4.2/src/bsh;68;Technical Debt
we consume this to work around the bug;KeyEventWorkaround.java;jedit-4.2/src/org/gjt/sp/jedit/gui;223;Technical Debt
undocumented hack to allow browser actions to work.;BeanShellAction.java;jedit-4.2/src/org/gjt/sp/jedit;107;Technical Debt
ugly workaround;SearchDialog.java;jedit-4.2/src/org/gjt/sp/jedit/search;98;Technical Debt
TODO: the '\n' literal here should be a test against REToken.newline,;RE.java;jedit-4.2/src/gnu/regexp;325;Technical Debt
TODO: test that surrogate value is legal.;XmlParser.java;jedit-4.2/src/com/microstar/xml;4029;Technical Debt
TODO: Also check REG_ANCHORINDEX vs. anchor;RETokenWordBoundary.java;jedit-4.2/src/gnu/regexp;48;Technical Debt
TODO check if this code ever gets hit;REMatch.java;jedit-4.2/src/gnu/regexp;91;Technical Debt
this listener priority thing is a bad hack...;DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;709;Technical Debt
this is retarded. excuse me while I drool;DefaultInputHandler.java;jedit-4.2/src/org/gjt/sp/jedit/gui;264;Technical Debt
this is a weird hack.;View.java;jedit-4.2/src/org/gjt/sp/jedit;616;Technical Debt
this is a weird hack.;View.java;jedit-4.2/src/org/gjt/sp/jedit;678;Technical Debt
"this is a sloppy hack to fix bug    ""[ 677902 ] hitting return after collapsed    fold""     the idea is that if we extend the range then    the problem described in the bug happends, so    if the insert is at the very end of the range    we don't extend it, instead we push the    insert into the next range, however for this    to work properly we also have to mess with    screen line counts.";DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;1533-1543;Technical Debt
this is a hack, and really needs to be done better.;DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;440;Technical Debt
this is a dirty hack and it relies on the fact;VFSBrowser.java;jedit-4.2/src/org/gjt/sp/jedit/browser;1118;Technical Debt
this is a bad hack;GrabKeyDialog.java;jedit-4.2/src/org/gjt/sp/jedit/gui;160;Technical Debt
This could be smarter...;CollectionManager.java;jedit-4.2/src/bsh;78;Technical Debt
there must be a better way of fixing this...;StatusBar.java;jedit-4.2/src/org/gjt/sp/jedit/gui;384;Technical Debt
the workaround causes problems!;SearchDialog.java;jedit-4.2/src/org/gjt/sp/jedit/search;763;Technical Debt
the sooner ppl move to the new api, the less we'll need;VFSManager.java;jedit-4.2/src/org/gjt/sp/jedit/io;194;Technical Debt
Temporary hack to support inner classes;BSHAllocationExpression.java;jedit-4.2/src/bsh;141;Technical Debt
stupidity;DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;1207;Technical Debt
stupidity;DisplayManager.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;624;Technical Debt
stupid: caret will automatically be incremented;JEditTextArea.java;jedit-4.2/src/org/gjt/sp/jedit/textarea;4285;Technical Debt
stupid Swing;VFSDirectoryEntryTable.java;jedit-4.2/src/org/gjt/sp/jedit/browser;316;Technical Debt
stupid scrollbar policy is an attempt to work around;ActionBar.java;jedit-4.2/src/org/gjt/sp/jedit/gui;462;Technical Debt
